dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
Catalyst-Plugin-Authorization-Roles|BOBTFISH|Catalyst-Plugin-Authorization-Roles-0.09|0.09|PASS
Catalyst-Plugin-Cache|BOBTFISH|Catalyst-Plugin-Cache-0.12|0.12|PASS
Catalyst-Plugin-ConfigLoader|BOBTFISH|Catalyst-Plugin-ConfigLoader-0.34|0.34|PASS
Catalyst-Plugin-FormValidator|DHOSS|Catalyst-Plugin-FormValidator-0.094|0.094|PASS
Catalyst-Plugin-FormValidator-Simple|DHOSS|Catalyst-Plugin-FormValidator-Simple-0.15|0.15|PASS
Catalyst-Plugin-I18N|BOBTFISH|Catalyst-Plugin-I18N-0.10|0.10|PASS
Catalyst-Plugin-Session|JJNAPIORK|Catalyst-Plugin-Session-0.40|0.40|PASS
Catalyst-Plugin-Session-State-Cookie|MSTROUT|Catalyst-Plugin-Session-State-Cookie-0.17|0.17|PASS
Catalyst-Plugin-Session-Store-DBIC|BOBTFISH|Catalyst-Plugin-Session-Store-DBIC-0.14|0.14|PASS
Catalyst-Plugin-Session-Store-Delegate|BOBTFISH|Catalyst-Plugin-Session-Store-Delegate-0.06|0.06|PASS
Catalyst-Plugin-Session-Store-FastMmap|BOBTFISH|Catalyst-Plugin-Session-Store-FastMmap-0.16|0.16|PASS
Catalyst-Plugin-Session-Store-File|FLORA|Catalyst-Plugin-Session-Store-File-0.18|0.18|PASS
Catalyst-Plugin-StackTrace|BOBTFISH|Catalyst-Plugin-StackTrace-0.12|0.12|PASS
Catalyst-Plugin-Static-Simple|ILMARI|Catalyst-Plugin-Static-Simple-0.36|0.36|PASS
Catalyst-Plugin-SubRequest|JJNAPIORK|Catalyst-Plugin-SubRequest-0.21|0.21|PASS
Catalyst-Runtime|ETHER|Catalyst-Runtime-5.90120|5.90120|PASS
Catalyst-View-Email|DHOSS|Catalyst-View-Email-0.36|0.36|PASS
Catalyst-View-HTML-Mason|JJNAPIORK|Catalyst-View-HTML-Mason-0.19|0.19|PASS
Catalyst-View-JSON|JJNAPIORK|Catalyst-View-JSON-0.36|0.36|PASS
Catalyst-View-TT|ETHER|Catalyst-View-TT-0.44|0.44|PASS
CatalystX-AppBuilder|NEWELLC|CatalystX-AppBuilder-0.00011|0.00011|PASS
CatalystX-Component-Traits|RKITOVER|CatalystX-Component-Traits-0.19|0.19|PASS
CatalystX-InjectComponent|ROKR|CatalystX-InjectComponent-0.025|0.025|PASS
CatalystX-LeakChecker|FLORA|CatalystX-LeakChecker-0.06|0.06|PASS
CatalystX-Profile|JJNAPIORK|CatalystX-Profile-0.02|0.02|PASS
CatalystX-RoleApplicator|HDP|CatalystX-RoleApplicator-0.005|0.005|PASS
